document,term,count
471,lust,1
471,maddeneth,1
472,half,1
472,inviolate,1
472,race,1
472,spoil,1
472,things,1
473,back,1
473,home,1
473,peace,1
473,run,1
473,windeth,1
474,god,1
474,pass,1
474,though,1
474,"unchalleng\u00e3d",1
474,yea,1
475,dead,1
475,desolate,1
475,methinks,1
475,wound,1
476,groping,1
476,might,1
476,waken,1
476,will,1
477,hear,1
478,belike,1
478,fear,1
478,womans,2
478,word,1
479,conquer,1
479,good,1
479,incline,1
479,last,1
479,may,1
480,balance,1
480,mine,1
480,prayer,1
480,prayers,1
482,leader,1
484,faithful,1
484,like,1
484,man,1
484,wise,1
484,woman,1
485,accept,1
485,speakest,1
485,testimonies,1
485,thou,1
485,thy,1
486,gain,1
486,god,1
486,praising,1
486,turn,1
487,day,1
487,pain,1
487,pays,1
487,won,1
489,chorus,1
489,clytemnestra,1
489,palace,1
489,returns,1
489,take,1
489,the,1
490,position,1
490,second,1
490,stasimon,1
492,elder,1
494,aid,1
494,night,1
494,ruler,1
494,zeus,1
495,gainer,1
495,glories,1
495,hast,1
495,thou,1
495,thrown,1
496,ilion,1
496,towers,1
497,closelaid,1
497,net,1
497,thy,1
498,nimble,1
498,none,2
498,tall,1
499,escape,1
499,shall,1
499,withal,1
500,claspeth,1
500,slaver,1
500,snare,1
502,another,1
504,friend,2
504,watcher,1
504,zeus,1
505,also,1
505,end,1
505,hath,1
505,praise,1
505,wrought,1
506,drew,1
506,long,1
506,paris,1
506,shaft,1
506,since,1
507,"aim\u00e3d",1
507,hath,1
507,true,1
508,falling,1
508,far,1
508,soon,1
508,yet,1
509,avenging,1
509,fire,1
509,star,1
511,chorus,1
513,fierce,1
513,gods,1
513,gold,1
513,judgement,1
513,may,1
513,this,1
513,troy,1
513,upon,1
514,justice,1
514,one,1
514,save,1
514,spurneth,1
516,clear,1
516,day,1
516,found,1
516,hath,1
516,stroke,1
516,zeus,1
517,plain,1
517,tale,1
517,trace,1
518,fallen,1
518,hath,1
518,judged,1
518,men,1
518,said,1
518,troy,1
519,deigns,1
519,god,1
519,hardihead,1
519,mans,1
519,mark,1
520,earth,1
520,grace,1
520,trampling,1
521,delicate,1
521,holy,1
521,lies,1
521,thingssin,1
521,way,1
522,breed,1
522,doth,1
522,pride,1
522,return,1
522,visibly,1
523,houses,1
523,men,1
523,prideful,1
523,swell,1
524,blood,1
524,breathe,1
524,ever,1
524,happy,1
524,wealth,1
524,wrath,1
525,burn,1
525,due,1
525,fierce,1
525,let,1
525,vengeance,1
525,yet,1
526,deemeth,1
526,well,1
527,mood,1
527,one,1
527,wise,1
529,gold,1
529,never,1
529,shall,1
529,state,1
530,aching,1
530,heart,1
530,shelter,1
531,altar,1
531,justice,1
531,old,1
531,whoso,1
532,night,1
532,spurneth,1
532,unwaking,1
534,last,1
534,longing,1
534,overcomes,1
534,sinner,1
534,suffers,1
534,temptation,1
534,the,1
534,till,1
